full_name,pdes,neo,pha,H,diameter,albedo,rot_per,BV,spec_B,spec_T,diameter_sigma,e,a,q,i,ad,per,per_y,moid,sigma_e,sigma_a,sigma_tp,sigma_per,two_body
   392 Wilhelmina (A894 VD),392,N,N,9.73,60.75,0.173,13.058,,Ch,,0.184,0.138206931,2.885886951,2.487037373,14.31582346,3.28473653,1790.67759,4.902608051,1.49064,1.33E-09,2.15E-09,4.62E-06,2.00E-06,
   314 Rosalia (A891 RA),314,N,N,10.14,60.689,0.043,20.465,,,,0.284,0.170690101,3.159071752,2.619849476,12.51430299,3.698294028,2050.86778,5.614969964,1.61678,1.15E-09,1.82E-09,4.00E-06,1.77E-06,
   671 Carnegia (A908 SJ),671,N,N,10.33,60.604,0.028,8.332,,Xk,,0.842,0.061307177,3.094471512,2.904758199,8.006784143,3.284184824,1988.282821,5.443621686,1.93514,7.35E-10,1.96E-09,4.21E-06,1.89E-06,
  1041 Asta (1925 FA),1041,N,N,10.3,60.571,0.047,7.978,,C,,0.199,0.146439588,3.072356721,2.622442069,13.9344256,3.522271372,1967.006907,5.385371408,1.63448,1.03E-09,1.26E-09,2.43E-06,1.21E-06,
   510 Mabella (A903 KA),510,N,N,9.74,60.45,0.062,19.4,0.735,,PD,0.777,0.19168888,2.609853606,2.109573692,9.5421147,3.110133521,1540.006833,4.21630892,1.11864,1.28E-09,1.35E-09,2.58E-06,1.20E-06,
   468 Lina (A901 BC),468,N,N,9.84,60.238,0.057,16.33,0.66,,CPF,0.518,0.194873817,3.136337948,2.525147799,0.435622664,3.747528097,2028.769495,5.554468159,1.51895,1.14E-09,3.56E-09,8.74E-06,3.45E-06,
   752 Sulamitis (A913 HG),752,N,N,10.25,60.171,0.045,27.367,,,,0.25,0.072922196,2.463100152,2.283485481,5.964264817,2.642714824,1411.957204,3.865728141,1.30118,8.78E-10,7.81E-10,3.42E-06,6.71E-07,
   541 Deborah (A904 PF),541,N,N,10.25,60.147,0.055,29.368,,B,,0.714,0.053354289,2.813586613,2.6634697,6.018308292,2.963703527,1723.807875,4.719528747,1.64567,9.42E-10,1.10E-09,4.97E-06,1.01E-06,
   479 Caprera (A901 VK),479,N,N,9.81,60.088,0.071,9.454,,C,,0.715,0.217608987,2.722095326,2.129742921,8.677435611,3.314447732,1640.413829,4.491208292,1.15945,9.24E-10,1.27E-09,2.29E-06,1.15E-06,
  1351 Uzbekistania (1934 TF),1351,N,N,10.17,60.01,0.035,74.07,,Xk,,0.18,0.069190252,3.194930879,2.973872807,9.643461882,3.415988951,2085.886278,5.710845387,2.00364,8.81E-10,2.29E-09,8.88E-06,2.24E-06,
  1030 Vitja (A924 KD),1030,N,N,10.46,59.717,0.031,6.334,,,,0.226,0.123189032,3.118637765,2.734455797,14.78039361,3.502819733,2011.619456,5.50751391,1.73373,1.05E-09,2.12E-09,3.66E-06,2.06E-06,
   287 Nephthys (A889 QA),287,N,N,8.25,59.615,0.238,7.605,0.873,,S,1.284,0.023712531,2.352920214,2.29712652,10.03368071,2.408713908,1318.28475,3.60926694,1.29209,1.89E-09,1.14E-09,1.76E-05,9.59E-07,
   638 Moira (A917 RC),638,N,N,10.09,59.594,0.06,9.8768,,Ch,,0.387,0.162281218,2.733422734,2.289839564,7.708736572,3.177005904,1650.663812,4.519271216,1.28656,7.70E-10,1.17E-09,2.93E-06,1.06E-06,
  1189 Terentia (1930 SG),1189,N,N,9.97,59.246,0.042,19.308,,Ch,,0.201,0.111160812,2.932636576,2.606642314,9.864575157,3.258630838,1834.365176,5.022218141,1.6292,7.24E-10,2.19E-09,6.91E-06,2.05E-06,
   487 Venetia (A902 NC),487,N,N,8.42,59.046,0.328,13.34,0.852,,S,0.458,0.08623071,2.669459303,2.439269931,10.25348892,2.899648676,1593.064586,4.361573131,1.47135,2.59E-09,2.08E-09,6.70E-06,1.86E-06,
   932 Hooveria (A920 FC),932,N,N,10.04,58.978,0.051,78.44,0.673,,CB,0.804,0.09125474,2.419281096,2.198510229,8.109630089,2.640051964,1374.446769,3.76303017,1.21944,1.23E-09,1.06E-09,3.60E-06,9.03E-07,
   152 Atala (A875 VB),152,N,N,8.36,58.964,0.257,6.246,0.882,S,I,0.51,0.082687813,3.136202301,2.876876592,12.12490202,3.39552801,2028.637879,5.554107814,1.91518,1.62E-09,3.87E-09,1.37E-05,3.75E-06,
   438 Zeuxo (A898 VG),438,N,N,10.18,58.871,0.061,8.831,0.611,,F:,0.226,0.066755872,2.555337478,2.384753696,7.363893502,2.72592126,1492.006873,4.084892191,1.37151,1.01E-09,7.75E-10,3.87E-06,6.78E-07,
   954 Li (A921 PC),954,N,N,10.16,58.771,0.06,7.207,0.625,,FCX,0.474,0.173666135,3.128560966,2.585235874,1.172665122,3.671886057,2021.228254,5.533821367,1.56976,7.01E-10,2.20E-09,5.90E-06,2.13E-06,
   820 Adriana (A916 FJ),820,N,N,10.37,58.65,0.0204,12.42,,,,2.5,0.053501985,3.134392181,2.966695977,5.94999225,3.302088386,2026.881832,5.549300019,1.95215,1.06E-09,2.60E-09,4.57E-06,2.52E-06,
   744 Aguntina (A913 DE),744,N,N,10.36,58.636,0.031,17.47,0.657,,FX:,0.264,0.111933366,3.179828398,2.823899501,7.719961617,3.535757295,2071.113752,5.670400415,1.83251,8.49E-10,1.72E-09,4.48E-06,1.68E-06,
    64 Angelina (A861 EA),64,N,N,7.72,58.292,0.483,8.752,0.734,Xe,E,1.082,0.126549921,2.680924509,2.341653725,1.305823278,3.020195292,1603.338807,4.389702415,1.3559,2.22E-09,2.37E-09,4.62E-06,2.13E-06,
   874 Rotraut (A917 KK),874,N,N,10.24,58.287,0.054,14.297,,,,0.198,0.080019622,3.152444939,2.900187488,11.14159804,3.40470239,2044.41798,5.597311374,1.89776,1.20E-09,2.33E-09,3.21E-06,2.27E-06,
   764 Gedania (A913 SF),764,N,N,9.67,58.28,0.084,24.968,0.737,,C,1.4,0.092301037,3.195735407,2.900765714,9.999752699,3.490705099,2086.67421,5.713002628,1.91547,1.19E-09,3.23E-09,1.04E-05,3.16E-06,
  1023 Thomana (A924 MC),1023,N,N,10.15,58.27,0.0649,17.56,0.764,,G,1.6,0.09568407,3.17236147,2.868817012,10.05938176,3.475905927,2063.822898,5.650439145,1.87404,7.42E-10,2.58E-09,8.49E-06,2.52E-06,
  2193 Jackson (1926 KB),2193,N,N,10.79,58.265,0.036,4.7541,,,,0.613,0.074637328,3.105764238,2.873958293,11.67459621,3.337570184,1999.176574,5.473447158,1.87075,8.72E-10,1.51E-09,2.45E-06,1.46E-06,
   224 Oceana (A882 FA),224,N,N,8.68,58.236,0.166,9.401,0.748,,M,0.822,0.044743756,2.645075464,2.526724854,5.844821719,2.763426074,1571.287036,4.301949448,1.51702,1.65E-09,2.55E-09,1.34E-05,2.27E-06,
   838 Seraphina (A916 SL),838,N,N,10.26,58.095,0.048,11.69,0.703,,P,0.496,0.130835469,2.899107968,2.519801818,10.42207653,3.278414118,1802.99703,4.936336837,1.53652,7.77E-10,1.00E-09,2.36E-06,9.35E-07,
  1062 Ljuba (1925 TD),1062,N,N,9.84,58.031,0.06,33.8,0.72,,,1.315,0.07243978,3.007896822,2.790005437,5.596712104,3.225788207,1905.429256,5.216780988,1.81239,1.19E-09,1.44E-09,4.32E-06,1.37E-06,
   207 Hedda (A879 UA),207,N,N,10.25,57.88,0.058,30.098,0.722,Ch,C,0.149,0.028484663,2.28406695,2.219006072,3.799517665,2.349127828,1260.844916,3.452005245,1.20852,1.39E-09,1.08E-09,7.64E-06,8.95E-07,
    82 Alkmene (A864 WA),82,N,N,8.26,57.621,0.167,12.999,0.814,Sq,S,0.714,0.221103398,2.763971493,2.152848004,2.825140389,3.375094982,1678.412735,4.595243629,1.16804,2.53E-09,1.92E-09,4.14E-06,1.75E-06,
   235 Carolina (A883 WA),235,N,N,8.98,57.517,0.177,17.61,0.897,,S,0.185,0.0601369,2.881647683,2.708354325,9.029523656,3.054941041,1786.733375,4.891809376,1.69425,1.39E-09,1.88E-09,6.64E-06,1.75E-06,
   611 Valeria (A906 SM),611,N,N,9.47,57.468,0.124,6.977,0.817,L,S,0.18,0.124793496,2.978507099,2.606808784,13.44394877,3.350205414,1877.571075,5.140509447,1.66157,1.05E-09,1.82E-09,5.04E-06,1.72E-06,
   119 Althaea (A872 GA),119,N,N,8.33,57.3,0.2306,11.484,0.874,Sl,S,1.1,0.081873975,2.580817835,2.369516019,5.786828662,2.792119651,1514.378565,4.146142547,1.36941,1.54E-09,1.28E-09,6.11E-06,1.13E-06,
   255 Oppavia (A886 FB),255,N,N,10.52,56.939,0.038,19.499,0.764,,X,0.474,0.078962205,2.74659021,2.529713392,9.460609648,2.963467029,1662.60556,4.551965941,1.53758,9.83E-10,1.38E-09,3.04E-06,1.25E-06,
    67 Asia (A861 HA),67,N,N,8.38,56.309,0.228,15.853,0.861,S,S,0.396,0.185714287,2.422211935,1.972372571,6.024430014,2.872051298,1376.945136,3.769870325,0.966816,2.11E-09,1.42E-09,3.76E-06,1.21E-06,
   316 Goberta (A891 RC),316,N,N,10.16,56.067,0.061,8.605,,,,0.642,0.127550219,3.184525053,2.778338187,2.346968422,3.59071192,2075.704045,5.682967955,1.79435,1.26E-09,3.08E-09,6.73E-06,3.01E-06,
   267 Tirza (A887 KB),267,N,N,10.23,55.998,0.051,7.648,,D,DU,0.637,0.102567978,2.772929772,2.488515973,6.009813159,3.057343572,1686.579173,4.617602115,1.47145,8.49E-10,1.13E-09,3.28E-06,1.03E-06,
   891 Gunhild (A918 KB),891,N,N,9.97,55.747,0.065,11.892,,,,0.321,0.025918802,2.860854374,2.786704455,13.54635581,2.935004293,1767.429315,4.838957741,1.82342,1.43E-09,2.24E-09,9.23E-06,2.07E-06,
   402 Chloe (A895 FB),402,N,N,9.1,55.421,0.164,10.664,0.808,K,S,1.758,0.111406215,2.558965214,2.273880584,11.83877174,2.844049844,1495.185237,4.093594078,1.28841,1.34E-09,1.56E-09,4.32E-06,1.37E-06,
   222 Lucia (A882 CA),222,N,N,9.61,55.35,0.128,7.8371,0.688,,BU,1.037,0.130703069,3.150292056,2.738539215,2.140803662,3.562044897,2042.324061,5.591578539,1.721,1.05E-09,2.64E-09,6.79E-06,2.57E-06,
   778 Theobalda (A914 BG),778,N,N,9.88,55.317,0.079,11.659,0.617,,F,0.797,0.256862337,3.17844811,2.362024501,13.71724942,3.994871718,2069.765365,5.666708735,1.3997,1.02E-09,2.79E-09,6.62E-06,2.72E-06,
   417 Suevia (A896 JB),417,N,N,9.67,54.874,0.072,7.034,0.755,Xk,X,0.494,0.134952223,2.800181479,2.422290765,6.645356661,3.178072194,1711.50312,4.685840164,1.42251,1.15E-09,1.32E-09,3.35E-06,1.21E-06,
   142 Polana (A875 BA),142,N,N,10.53,54.812,0.047,9.764,0.621,B,F,0.277,0.132763333,2.419144708,2.097970994,2.242569382,2.740318422,1374.330543,3.76271196,1.08877,2.06E-08,4.07E-09,4.12E-05,3.47E-06,
   558 Carmen (A905 CK),558,N,N,9.04,54.811,0.131,11.387,0.733,,M,0.373,0.038309235,2.908682275,2.797252883,8.373423611,3.020111667,1811.935999,4.960810401,1.82025,1.25E-09,2.46E-09,1.20E-05,2.30E-06,
  1731 Smuts (1948 PH),1731,N,N,10.52,54.784,0.058,12.5,,,,0.236,0.128266563,3.16506998,2.759097331,5.931581157,3.571042629,2056.711621,5.630969531,1.75364,9.64E-10,1.85E-09,4.92E-06,1.81E-06,
   232 Russia (A883 BA),232,N,N,10.58,54.73,0.031,21.905,0.709,,C,0.957,0.171524317,2.554708445,2.116513824,6.066110817,2.992903066,1491.455989,4.083383953,1.11862,9.38E-10,1.07E-09,1.86E-06,9.41E-07,
   198 Ampella (A879 LA),198,N,N,8.54,54.323,0.268,10.379,0.885,S,S,0.343,0.227216549,2.459068968,1.900327802,9.323210542,3.017810134,1408.492345,3.856241875,0.922717,1.66E-09,1.17E-09,3.83E-06,1.01E-06,
   609 Fulvia (A906 SL),609,N,N,10.41,54.17,0.0602,35.375,,,,2.8,0.038254474,3.08598331,2.96793064,4.187859412,3.204035979,1980.107579,5.421239095,1.9536,8.58E-10,1.62E-09,6.78E-06,1.56E-06,
   584 Semiramis (A906 AC),584,N,N,8.48,54.01,0.1987,5.068,0.916,Sl,S,1.4,0.233046566,2.373773599,1.820573813,10.71984377,2.926973386,1335.849001,3.657355239,0.855571,2.64E-09,1.61E-09,3.41E-06,1.36E-06,
  1436 Salonta (1936 YA),1436,N,N,10.28,53.769,0.028,8.87,,,,0.269,0.060475125,3.147740871,2.957380849,13.88906402,3.338100893,2039.843677,5.584787615,1.94816,1.29E-09,2.44E-09,4.36E-06,2.38E-06,
   934 Thuringia (A920 PA),934,N,N,10.18,53.714,0.047,8.166,,Ch,,0.361,0.215658994,2.748996246,2.15615048,14.08160737,3.341842011,1664.790723,4.55794859,1.19995,1.07E-09,1.61E-09,3.22E-06,1.46E-06,
  3754 Kathleen (1931 FM),3754,N,N,10.5,53.699,0.061,11.18,,,,0.248,0.106339705,3.162160167,2.825896989,8.45541114,3.498423346,2053.876011,5.623206053,1.84394,7.10E-10,1.62E-09,5.66E-06,1.58E-06,
  1072 Malva (1926 TA),1072,N,N,10.79,53.675,0.032,10.08,,,,0.343,0.237081464,3.171353438,2.419484322,8.019869649,3.923222554,2062.839293,5.647746182,1.43457,8.96E-10,1.99E-09,1.86E-06,1.94E-06,
   403 Cyane (A895 KA),403,N,N,9.03,53.574,0.173,12.283,,S,S,0.635,0.097850582,2.811519018,2.536410246,9.153301225,3.08662779,1721.908085,4.714327406,1.56834,1.17E-09,1.96E-09,6.70E-06,1.80E-06,
   446 Aeternitas (A899 UB),446,N,N,8.85,53.562,0.317,15.7413,1.026,A,A,0.595,0.124596415,2.787517009,2.440202384,10.61499924,3.134831635,1699.905253,4.654086936,1.45483,1.95E-09,2.44E-09,6.07E-06,2.23E-06,
   492 Gismonda (A902 RF),492,N,N,9.98,53.418,0.069,6.488,,,,0.151,0.183019347,3.108576143,2.539646566,1.612774165,3.67750572,2001.892218,5.480882185,1.53085,1.23E-09,2.33E-09,2.27E-06,2.25E-06,
   563 Suleika (A905 GD),563,N,N,8.4,53.29,0.2477,5.69,0.887,Sl,S,1.1,0.236357696,2.71172735,2.070789723,10.2474386,3.352664978,1631.050692,4.465573422,1.08798,1.78E-09,1.46E-09,2.79E-06,1.31E-06,
  1165 Imprinetta (1930 HM),1165,N,N,10.71,53.187,0.048,10.797,,,,0.325,0.210145852,3.128700099,2.471216752,12.79684216,3.786183447,2021.363088,5.534190521,1.49576,9.33E-10,1.31E-09,1.65E-06,1.27E-06,
   301 Bavaria (A890 WA),301,N,N,10.49,53.042,0.057,12.253,,C,,0.426,0.065557637,2.724623302,2.546003438,4.898390716,2.903243167,1642.699507,4.497466138,1.53243,1.22E-09,1.24E-09,3.00E-06,1.12E-06,
  1637 Swings (A907 GX),1637,N,N,10.45,52.994,0.042,10.264,,,,0.428,0.051348828,3.067905177,2.910371841,14.08121778,3.225438514,1962.733456,5.373671338,1.92253,7.15E-10,1.70E-09,8.44E-06,1.63E-06,
   371 Bohemia (A893 OA),371,N,N,8.74,52.976,0.234,10.7391,0.822,S,QSV,0.622,0.062142386,2.727395351,2.557908497,7.402211493,2.896882206,1645.207084,4.504331509,1.54126,1.64E-09,2.31E-09,6.42E-06,2.09E-06,
