# PARTHENOPE -> PSYCHE -> THEMIS LT-chain trajectory
# Frame: heliocentric ECLIPJ2000, units km / km/s / kg
# Time system: SPICE ET (TDB seconds past J2000)
et_seconds_past_J2000,utc_iso,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms,mass_kg
1105909554.322698,2035-01-17T09:04:45.138317,-40234399.787407,-342764969.557194,18978480.469424,19.933463911,-0.537750056,-1.195319334,1210.7341
1106626123.807102,2035-01-25T16:07:34.622492,-25921316.875271,-342866321.756555,18106470.137623,20.010061194,0.256425173,-1.238273349,1210.7341
1107342693.291507,2035-02-02T23:10:24.106681,-11565014.744172,-342395403.836196,17204241.506048,20.053948343,1.059275786,-1.279641331,1210.7341
1108059262.775911,2035-02-11T06:13:13.590886,2810764.782843,-341346489.641092,16272973.250047,20.064289248,1.869419787,-1.319305473,1210.7341
1108775832.260315,2035-02-19T13:16:03.075114,17181700.685159,-339714871.927795,15313928.618071,20.040304686,2.685395486,-1.357147616,1210.7341
1109492401.744720,2035-02-27T20:18:52.559366,31522936.221776,-337496919.010903,14328455.497119,19.981279927,3.505662906,-1.393049780,1210.7341
1110208971.229124,2035-03-08T03:21:42.043648,45710247.727442,-334673050.041038,13390967.117804,19.748654269,4.352491954,-1.325109250,1203.8559
1110925540.713528,2035-03-16T10:24:31.527959,59816893.084667,-331258911.555130,12429863.430201,19.618015921,5.176685503,-1.357064688,1203.8559
1111642110.197932,2035-03-24T17:27:21.012304,73816861.264266,-327254263.637851,11446604.611928,19.450833099,6.000360532,-1.386927789,1203.8559
1112358679.682337,2035-04-02T00:30:10.496681,87683810.538869,-322660105.252476,10442728.694024,19.246687955,6.821755111,-1.414590797,1203.8559
1113075249.166741,2035-04-10T07:32:59.981092,101391132.846335,-317478720.560525,9419850.130728,19.005256229,7.639044862,-1.439948273,1203.8559
1113791818.651145,2035-04-18T14:35:49.465537,114912023.527503,-311713721.891975,8379657.905286,18.726314686,8.450348067,-1.462897754,1203.8559
1114508388.135550,2035-04-26T21:38:38.950014,128219556.315633,-305370088.747293,7323913.149198,18.409748323,9.253731636,-1.483340449,1203.8559
1115224957.619954,2035-05-05T04:41:28.434521,141286763.381510,-298454202.201438,6254446.255920,18.055557253,10.047217975,-1.501181954,1203.8559
1115941527.104358,2035-05-13T11:44:17.919057,154086720.160267,-290973874.077906,5173153.474357,17.663863149,10.828792712,-1.516332989,1203.8559
1116658096.588762,2035-05-21T18:47:07.403619,166592634.604501,-282938370.268831,4081992.972457,17.234915134,11.596413304,-1.528710139,1203.8559
1117374666.073167,2035-05-30T01:49:56.888203,178777940.424741,-274358427.596195,2982980.366879,16.769094999,12.348018456,-1.538236598,1203.8559
1118091235.557571,2035-06-07T08:52:46.372806,190616393.794139,-265246263.640034,1878183.720900,16.266921637,13.081538314,-1.544842911,1203.8559
1118807805.041975,2035-06-15T15:55:35.857423,202082172.911373,-255615579.002847,769718.019533,15.729054569,13.794905374,-1.548467689,1203.8559
1119524374.526379,2035-06-23T22:58:25.342052,213149979.736031,-245481551.535336,-340260.862039,15.156296461,14.486065995,-1.549058306,1203.8559
1120240944.010784,2035-07-02T06:01:14.826686,223795143.136218,-234860822.117301,-1449562.673080,14.549594532,15.152992434,-1.546571549,1203.8559
1120957513.495188,2035-07-10T13:04:04.311323,233993722.621093,-223771471.668345,-2555969.753688,13.910040770,15.793695269,-1.540974226,1203.8559
1121674082.979592,2035-07-18T20:06:53.795957,243722611.773457,-212232989.155414,-3657244.414032,13.238870865,16.406236082,-1.532243709,1203.8559
1122390652.463996,2035-07-27T03:09:43.280583,252959640.451587,-200266230.466783,-4751136.679977,12.537461832,16.988740242,-1.520368412,1203.8559
1123107221.948401,2035-08-04T10:12:32.765199,261683674.797073,-187893368.133331,-5835392.351528,11.807328264,17.539409638,-1.505348186,1203.8559
1123823791.432805,2035-08-12T17:15:22.249799,269874714.068116,-175137831.995897,-6907761.313897,10.950598814,18.082543227,-1.431494625,1199.2327
1124540360.917209,2035-08-21T00:18:11.734380,277442633.560222,-162005572.494415,-7926105.051776,10.167922566,18.564649333,-1.410281099,1199.2327
1125256930.401613,2035-08-29T07:21:01.218937,284441082.400550,-148540807.001546,-8928178.896054,9.361479646,19.010346647,-1.386090368,1199.2327
1125973499.886018,2035-09-06T14:23:50.703469,290853724.368742,-134770139.696920,-9911864.308574,8.533225944,19.418218825,-1.358965776,1199.2327
1126690069.370422,2035-09-14T21:26:40.187972,296665662.703602,-120721144.677561,-10875077.961224,7.685221555,19.786976766,-1.328962238,1199.2327
1127406638.854826,2035-09-23T04:29:29.672443,301863511.079434,-106422271.308095,-11815779.983477,6.819620289,20.115468134,-1.296146100,1199.2327
1128123208.339231,2035-10-01T11:32:19.156883,306435456.694103,-91902743.124262,-12731982.068701,5.938658161,20.402685807,-1.260594884,1199.2327
