# PARTHENOPE -> PSYCHE -> THEMIS LT-chain trajectory
# Frame: heliocentric ECLIPJ2000, units km / km/s / kg
# Time system: SPICE ET (TDB seconds past J2000)
et_seconds_past_J2000,utc_iso,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms,mass_kg
1049705625.615124,2033-04-06T20:52:36.429470,-154011413.143829,367233420.699705,-7082957.544436,-16.393158677,-5.848342638,1.358729221,1225.1115
1050100426.844798,2033-04-11T10:32:37.659155,-160457910.857291,364864552.053399,-6545400.379959,-16.262938323,-6.151504403,1.364372816,1225.1115
1050495228.074472,2033-04-16T00:12:38.888851,-166852016.757383,362376547.428852,-6005705.932580,-16.127759905,-6.451856680,1.369556542,1225.1115
1050890029.304146,2033-04-20T13:52:40.118557,-173191784.977012,359770527.560646,-5464055.536338,-15.987682063,-6.749341149,1.374281532,1225.1115
1051284830.533820,2033-04-25T03:32:41.348272,-179475292.755884,357047636.014128,-4920630.070997,-15.842763212,-7.043900466,1.378548955,1225.1115
1051679631.763494,2033-04-29T17:12:42.577997,-185700640.352953,354209038.806745,-4375609.950030,-15.693061547,-7.335478230,1.382360005,1225.1115
1052259943.396632,2033-05-06T10:24:34.211225,-194741690.482107,349829141.674903,-3571976.919763,-15.464513893,-7.758470523,1.387138161,1225.1115
1052840255.029770,2033-05-13T03:36:25.844472,-203647183.889260,345205702.134324,-2765855.244950,-15.225937711,-8.174726551,1.390936052,1225.1115
1053420566.662908,2033-05-19T20:48:17.477736,-212411364.069007,340342699.350373,-1957812.892340,-14.977518818,-8.584078605,1.393758366,1225.1115
1054000878.296045,2033-05-26T14:00:09.111015,-221028572.105104,335244188.836848,-1148414.689751,-14.719439949,-8.986358563,1.395609651,1225.1115
1054581189.929183,2033-06-02T07:12:00.744307,-229493255.272992,329914321.910132,-338222.825643,-14.451883664,-9.381404324,1.396494390,1225.1115
1055161501.562321,2033-06-09T00:23:52.377610,-237799966.104344,324357342.658843,472203.064620,-14.175030130,-9.769057836,1.396416926,1225.1115
1055741813.195459,2033-06-15T17:35:44.010923,-245943361.119626,318577586.145816,1282305.863548,-13.889057724,-10.149163493,1.395381612,1225.1115
1056322124.828597,2033-06-22T10:47:35.644242,-253918200.013934,312579477.115198,2091530.999914,-13.594143728,-10.521567805,1.393392872,1225.1115
1056902436.461735,2033-06-29T03:59:27.277565,-261719345.124620,306367528.790627,2899326.491870,-13.290464642,-10.886119312,1.390455206,1225.1115
1057482748.094872,2033-07-05T21:11:18.910891,-269341761.026795,299946341.722375,3705142.987880,-12.978196344,-11.242668489,1.386573179,1225.1115
1058063059.728010,2033-07-12T14:23:10.544217,-276780514.211439,293320602.696833,4508433.803015,-12.657514222,-11.591067640,1.381751414,1225.1115
