Name_DecRadius,Class_Composition_SMASSII,Mass_kg,Radius_km,SMA_AU,Eccentricity,Inclination_deg,RotPeriod_hr,SciScore_A_Characterisation,SciScore_B_Interest,SciScore_Combined,SciFlags_Applied,SciPotential_Score_1to10,DeltaV_Score,Total_WeightedScore,Sub_Mass_Score,Sub_Radius_Score,Sub_Ecc_Score,Sub_Inc_Score,Sub_SMA_Score,Sub_RotPer_Score
609 Fulvia  (r=27.1km),Unclassified,1.66458173426235e+17,27.085,3.08598331,0.038254474,4.187859412,35.375,6,0,2.4,none,1.56,0,3.0853,2,2,9.67,8.38,3.49,1.56
671 Carnegia  (r=30.3km),Xk — X-complex (metallic / enstatite) [SMASSII],4.07915807371016e+17,30.302,3.094471512,0.061307177,8.006784143,8.332,8,0,3.2,none,3.81,0,3.0602,3,2,8.84,5.53,3.36,5.56
635 Vundtia  (r=47.2km),C — Primitive carbonaceous [Tholen],6.16949548032776e+17,47.2075,3.141114404,0.078554658,11.00817615,11.79,8,0,3.2,none,3.81,0,3.0593,4,4,8.04,3.22,2.47,9.73
464 Megaira  (r=38.5km),C — Primitive carbonaceous [SMASSII],3.35386857813152e+17,38.528,2.803368949,0.203850924,10.16244746,12.879,9,0,3.6,none,6.68,0,3.0536,3,3,2.73,3.82,5.47,9.02
198 Ampella  (r=27.2km),S — Silicaceous stony [SMASSII],2.26628030354885e+17,27.1615,2.459068968,0.227216549,9.323210542,10.379,9,0,3.6,none,6.68,0,3.0487,3,2,2,4.49,8.93,7.93
1085 Amaryllis (1927 QH)  (r=34.6km),Unclassified,3.48233911406105e+17,34.6405,3.193839079,0.039116635,6.651025396,18.111,6,0,2.4,none,1.56,0,3.0453,3,3,9.58,6.56,1.09,5
97 Klotho  (r=50.4km),M — Metallic or enstatite (ambiguous) [Tholen],1.87229815910256e+18,50.3585,2.668261893,0.257616852,11.77537142,35.15,8,2,4.4,radar-ambiguous-M(+2),8.67,0,3.0173,4,4,1.27,2.78,7.47,1.58
734 Benda  (r=33.7km),Unclassified,3.1946422581975e+17,33.659,3.148774545,0.102585181,5.802077181,7.11,6,0,2.4,none,1.56,0,3.0169,3,3,7.02,7.27,2.13,4.04
524 Fidelio  (r=32.8km),XC — X-complex (metallic / enstatite) [Tholen],5.15617349924766e+17,32.7635,2.636432641,0.126516455,8.221300931,14.198,8,0,3.2,none,3.81,0,3.0144,3,2,5.96,5.27,8,7.76
6 Hebe  (r=92.6km),S — Silicaceous stony [SMASSII],8.97727699815915e+18,92.59,2.425469296,0.202230064,14.73615053,7.2745,9,0,3.6,none,6.68,0,3.0136,6,5,2.82,1.18,9.16,4.27
