Name_DecRadius,Class_Composition_SMASSII,Mass_kg,Radius_km,SMA_AU,Eccentricity,Inclination_deg,RotPeriod_hr,SciPotential_Score,DeltaV_Score,Total_WeightedScore,Subscr_Mass_Score,Subscr_Radius_Score,Subscr_Ecc_Score,Subscr_Inc_Score,Subscr_SMA_Score,Subscr_RotPer_Score
335 Roberta (r = 48.6 km),B (Primitive carbonaceous) [SMASSII],6.71282157199577e+17,48.5545,2.47641983,0.171527139,5.102492383,12.054,10,0,3.92,1,2,6,7,7,10
24 Themis (r = 99.0 km),B (Primitive carbonaceous) [SMASSII],5.69013052567964e+18,99,3.143254185,0.115343007,0.736699519,8.374,8,0,3.91,1,3,7,9,2,9
287 Nephthys (r = 29.8 km),S (Silicaceous stony) [Tholen],2.99522209907013e+17,29.8075,2.352920214,0.023712531,10.03368071,7.605,10,0,3.91,1,1,9,4,8,9
29 Amphitrite (r = 94.8 km),S (Silicaceous stony) [SMASSII],9.62931986665336e+18,94.7795,2.554121109,0.073350274,6.077438248,5.3921,10,0,3.9,1,3,7,6,6,8
34 Circe (r = 66.5 km),Ch (Primitive carbonaceous) [SMASSII],1.72426181125493e+18,66.496,2.687939082,0.106784,5.4958795,12.15,10,0,3.9,1,2,7,6,6,10
195 Eurykleia (r = 46.6 km),Ch (Primitive carbonaceous) [SMASSII],5.91700103045258e+17,46.5545,2.877870145,0.038788957,6.955347203,16.521,10,0,3.9,1,2,8,6,4,9
377 Campania (r = 45.2 km),Ch (Primitive carbonaceous) [SMASSII],5.40571874270093e+17,45.173,2.690377469,0.075225552,6.677600597,11.664,10,0,3.9,1,2,7,6,6,10
438 Zeuxo (r = 29.4 km),F: (Primitive carbonaceous) [Tholen],1.49565317338538e+17,29.4355,2.555337478,0.066755872,7.363893502,8.831,10,0,3.9,1,1,8,6,6,9
224 Oceana (r = 29.1 km),M (Metallic (M-type)) [Tholen],3.61943914234238e+17,29.118,2.645075464,0.044743756,5.844821719,9.401,10,0,3.9,1,1,8,6,6,9
371 Bohemia (r = 26.5 km),S (Silicaceous stony) [SMASSII],2.10184108350154e+17,26.488,2.727395351,0.062142386,7.402211493,10.7391,10,0,3.9,1,1,8,6,5,10
338 Budrosa (r = 25.3 km),Xk (Metallic / enstatite) [SMASSII],2.36099784053098e+17,25.253,2.913290744,0.017591816,6.038359374,4.6084,10,0,3.9,1,1,9,6,4,8
268 Adorea (r = 72.3 km),FC (Primitive carbonaceous) [Tholen],2.21562560763979e+18,72.2925,3.090791214,0.137194364,2.440908736,7.8,10,0,3.89,1,3,6,8,3,9
142 Polana (r = 27.4 km),B (Primitive carbonaceous) [SMASSII],1.20712878219321e+17,27.406,2.419144708,0.132763333,2.242569382,9.764,10,0,3.89,1,1,6,8,7,9
138 Tolosa (r = 26.5 km),S (Silicaceous stony) [Tholen],2.09340155600623e+17,26.4525,2.451144098,0.161885579,3.198844169,10.101,10,0,3.89,1,1,6,8,7,9
389 Industria (r = 37.2 km),S (Silicaceous stony) [SMASSII],5.81695728763065e+17,37.189,2.608414219,0.066415512,8.123491198,8.4973,10,0,3.88,1,2,8,5,6,9
47 Aglaja (r = 84.1 km),B (Primitive carbonaceous) [SMASSII],3.48660878300839e+18,84.087,2.881138964,0.133314138,4.969777119,13.178,10,0,3.87,1,3,6,7,4,10
212 Medea (r = 68.1 km),DCX: (Primitive dark (D-type)) [Tholen],1.84881084176173e+18,68.06,3.11730023,0.102875422,4.277943619,10.283,10,0,3.87,1,3,7,7,2,9
114 Kassandra (r = 47.1 km),Xk (Metallic / enstatite) [SMASSII],1.53078802698526e+18,47.089,2.675073687,0.138981508,4.945921051,10.7431,10,0,3.87,1,2,6,7,6,10
43 Ariadne (r = 35.7 km),Sk (Silicaceous stony) [SMASSII],5.13288697707813e+17,35.67,2.203478106,0.168147324,3.470553261,5.76218,10,0,3.87,1,1,6,7,10,8
738 Alagasta (r = 31.4 km),CGSU (Primitive carbonaceous) [Tholen],1.81467187028392e+17,31.395,3.03538954,0.05640515,3.530931716,17.89,10,0,3.87,1,1,8,7,3,9
205 Martha (r = 38.5 km),Ch (Primitive carbonaceous) [SMASSII],3.34434561297774e+17,38.4915,2.777004701,0.035894377,10.70634164,14.911,10,0,3.86,1,2,9,4,5,9
45 Eugenia (r = 101.2 km),C (Primitive carbonaceous) [SMASSII],6.07139074447958e+18,101.1635,2.721582321,0.082172422,6.605637305,5.699,10,0,3.85,1,3,7,6,5,8
209 Dido (r = 89.5 km),Xc (Metallic / enstatite) [SMASSII],1.05119669729107e+19,89.504,3.150129367,0.053284558,7.165048851,5.7366,10,0,3.85,1,3,8,6,2,8
388 Charybdis (r = 62.9 km),C (Primitive carbonaceous) [SMASSII],1.45778031716443e+18,62.877,3.004874768,0.064992709,6.448123336,9.516,10,0,3.85,1,2,8,6,3,9
110 Lydia (r = 43.0 km),X (Metallic / enstatite) [SMASSII],1.1692968779707e+18,43.045,2.732703531,0.07910006,5.95940309,10.927,10,0,3.85,1,2,7,6,5,10
454 Mathesis (r = 40.9 km),CB (Primitive carbonaceous) [Tholen],4.00385531574749e+17,40.8715,2.626595668,0.11181948,6.292830232,8.378,10,0,3.85,1,2,7,6,6,9
32 Pomona (r = 40.4 km),S (Silicaceous stony) [SMASSII],7.44648497038325e+17,40.38,2.587847794,0.081306691,5.520820472,9.448,10,0,3.85,1,2,7,6,6,9
72 Feronia (r = 37.5 km),TDG (Primitive transitional) [Tholen],3.08830136755693e+17,37.483,2.266170521,0.121401141,5.417802768,8.097,10,0,3.85,1,2,6,6,9,9
104 Klymene (r = 68.3 km),Ch (Primitive carbonaceous) [SMASSII],1.86651031965322e+18,68.2765,3.143270972,0.16249413,2.789722819,8.984,10,0,3.84,1,3,6,8,2,9
150 Nuwa (r = 59.6 km),Cb (Primitive carbonaceous) [SMASSII],1.23927648705022e+18,59.564,2.984739457,0.123917425,2.20152013,8.1347,10,0,3.84,1,2,6,8,4,9
135 Hertha (r = 39.6 km),Xk (Metallic / enstatite) [SMASSII],9.11801006487599e+17,39.62,2.426899165,0.208371923,2.303289052,8.403,10,0,3.84,1,2,5,8,7,9
112 Iphigenia (r = 34.9 km),Ch (Primitive carbonaceous) [SMASSII],2.4947605603684e+17,34.909,2.433857452,0.127916087,2.597037723,31.466,10,0,3.84,1,1,6,8,7,8
77 Frigga (r = 30.7 km),Xe (Metallic / enstatite) [SMASSII],4.239938593461e+17,30.695,2.667440225,0.133542443,2.421201244,9.0032,10,0,3.84,1,1,6,8,6,9
345 Tercidina (r = 45.1 km),Ch (Primitive carbonaceous) [SMASSII],5.38725125665954e+17,45.1215,2.32532625,0.061261474,9.743466148,12.371,8,0,3.83,1,2,8,5,8,10
613 Ginevra (r = 40.7 km),P (Primitive dark (P-type)) [Tholen],9.86377688856336e+17,40.672,2.92065114,0.056403765,7.669401587,12.906,10,0,3.83,1,2,8,5,4,10
559 Nanon (r = 39.9 km),Xk (Metallic / enstatite) [SMASSII],9.31969794659093e+17,39.91,2.710763639,0.066551319,9.312929463,10.059,10,0,3.83,1,2,8,5,5,9
423 Diotima (r = 87.9 km),C (Primitive carbonaceous) [SMASSII],3.98676333734433e+18,87.9295,3.066783528,0.033872916,11.24258762,4.775,10,0,3.81,1,3,9,4,3,8
241 Germania (r = 84.5 km),B (Primitive carbonaceous) [SMASSII],3.53195861925212e+18,84.45,3.045694065,0.106251007,5.517921865,15.51,10,0,3.8,1,3,7,6,3,9
120 Lachesis (r = 77.6 km),C (Primitive carbonaceous) [SMASSII],2.73672294050063e+18,77.566,3.120262759,0.049000114,6.941077196,46.551,10,0,3.8,1,3,8,6,2,7
63 Ausonia (r = 58.0 km),Sa (Silicaceous stony) [SMASSII],2.20917671784126e+18,58.022,2.394579216,0.128157107,5.773344963,9.298,10,0,3.8,1,2,6,6,8,9
